Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,299.0,8.0,58.0,1040.0,0.0,20.60600000000001,0.0,0.0,123.94197750091553,,,,,,,,,,,,,,,,,,,,,7.7948471923613,5.295255930226684,20.17407293577882,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,349.0,9.0,50.0,1090.0,0.0,15.405999999999986,0.0,0.0,127.6091833114624,,,,,,,,,,,,,,,,,,,,,3.461372678936247,4.073875753260316,15.248179545598784,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,370.0,10.0,21.0,1111.0,0.0,10.404999999999996,0.0,0.0,129.33614802360535,,,,,,,,,,,,,,,,,,,,,2.984301462870449,3.418568038749133,10.352682351631351,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,425.0,11.0,55.0,1166.0,0.0,29.307000000000027,0.0,0.0,133.46783638000488,,,,,,,,,,,,,,,,,,,,,9.826323262438434,8.541405881736244,28.795347568134027,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,512.0,12.0,87.0,1253.0,0.0,48.40500000000003,0.0,0.0,139.67766737937927,,,,,,,,,,,,,,,,,,,,,19.92552260940086,12.712566339136815,46.718197730712845,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,552.0,13.0,40.0,1293.0,0.0,18.908000000000023,0.0,0.0,142.62805151939392,,,,,,,,,,,,,,,,,,,,,5.186461429265993,5.8920480687535015,18.719260803633,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,576.0,14.0,24.0,1317.0,0.0,9.908999999999994,0.0,0.0,144.5137574672699,,,,,,,,,,,,,,,,,,,,,2.3496963735840652,3.1758190015350647,9.862469756790775,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,593.0,15.0,17.0,1334.0,0.0,7.404,0.0,0.0,145.9268660545349,,,,,,,,,,,,,,,,,,,,,2.033373020519644,2.3911564038837976,7.376809468119285,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,660.0,16.0,67.0,1401.0,0.0,24.405000000000054,0.0,0.0,150.63430905342102,,,,,,,,,,,,,,,,,,,,,6.371695115793112,6.5437783394231275,24.002098525767636,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,711.0,17.0,51.0,1452.0,0.0,36.904999999999994,0.0,0.0,154.42263865470886,,,,,,,,,,,,,,,,,,,,,14.27345207962584,11.597219817795526,36.213267211150225,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,735.0,18.0,24.0,1476.0,0.0,9.205999999999994,0.0,0.0,156.37883281707764,,,,,,,,,,,,,,,,,,,,,2.246911639401187,2.82711227130633,9.161235356010383,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,751.0,19.0,16.0,1492.0,0.0,6.305000000000001,0.0,0.0,157.76476216316223,,,,,,,,,,,,,,,,,,,,,1.6255652593525838,2.0244063074626566,6.285276232082442,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,864.0,20.0,113.0,1605.0,0.0,50.605000000000054,0.0,0.0,165.62699556350708,,,,,,,,,,,,,,,,,,,,,16.203334850794022,15.90750347673102,48.822846007868144,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,98.0,1.0,98.0,1703.0,0.0,56.604000000000035,0.0,0.0,228.590252161026,,,,,,,,,,,,,,,,,,,,,21.351830998821853,15.018104754545414,54.566086648764205,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,149.0,2.0,51.0,1754.0,0.0,28.306000000000026,0.0,0.0,232.3064088821411,,,,,,,,,,,,,,,,,,,,,8.798104699727554,9.011176619691357,27.885181842156054,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,177.0,3.0,28.0,1782.0,0.0,17.004000000000012,0.0,0.0,234.5782539844513,,,,,,,,,,,,,,,,,,,,,5.631965341257367,5.618878978238881,16.863168138583376,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
